id,user_id,category,description,date,value
1,user_40,Chrome,Stock firm hope top total know. Listen stay without think. Fire but face question understand,1984-07-20T16:27:21.353052,16743.89
2,user_26,Fiber,Exactly name commercial less democratic school significant. Sing unit offer road. Occur ago else. Protect,2000-04-12T16:27:21.353215,20205.08
3,user_41,Opal,Only western seven clear more. Wear town business argue perhaps politics. Name visit attack throughout,2009-02-01T16:27:21.353307,48178.53
4,user_26,Quartz,Game lawyer finish manage allow. State attack treat cup report. Environment with conference describe occur,2021-05-21T16:27:21.353389,4642.76
5,user_47,Silver,Control past pass both with throw. Customer so history majority new establish attention. Music public,1986-07-14T16:27:21.353477,8750.6
6,user_3,Quartz,Dinner last born nearly prevent front forget. Good Republican region then follow ahead mother travel.,2012-08-29T16:27:21.353543,27046.57
7,user_25,Amethyst,Value start oil name someone paper civil. Goal paper top model across either. Kid Democrat,1995-05-31T16:27:21.353619,5636.81
8,user_48,Clay,Foot suddenly detail allow. Break fill upon American however.,1991-03-05T16:27:21.353684,10842.78
9,user_19,Stone,Per those continue personal fine report trade. Skill consider treatment seat.,1986-11-06T16:27:21.353746,42459.14
10,user_38,Amethyst,News not hope style action or institution. Television during perhaps include. Law real side reach.,1986-02-22T16:27:21.353845,38071.89
11,user_39,Pearl,Also cost service technology listen consider particularly. Require south those key enough. Positive national center,1989-07-28T16:27:21.353923,3818.81
12,user_16,Concrete,Agree participant take grow evidence statement office. Possible listen author never. Race glass lawyer director,2011-03-15T16:27:21.353998,541.65
13,user_13,Silver,Child instead cultural avoid usually. Article fill sing right music ten. Speak enough its.,2017-03-01T16:27:21.354071,35625.43
14,user_5,Amethyst,Quite of board material instead key. Special reason event. Sit everything may born value office.,1995-07-12T16:27:21.354158,12804.07
15,user_48,Diamond,Tonight your skill everyone character. Day candidate matter plant its their case.,1999-03-02T16:27:21.354221,27186.53
16,user_24,Concrete,Could model mother carry address industry. Science vote project majority.,1991-05-26T16:27:21.354282,16873.83
17,user_20,Leather,Operation watch bed wonder.,2006-08-19T16:27:21.354329,9086.37
18,user_33,Zinc,Travel become high remember economy speak body. Machine control store most agreement up account. Pressure,2015-09-21T16:27:21.354415,8535.4
19,user_43,Quartz,Red turn area able. Heart garden who get southern draw. Three size world sea argue.,1992-11-21T16:27:21.354490,2167.41
20,user_37,Bronze,Red especially by long bag. Them less forward popular mouth unit drive.,2018-11-21T16:27:21.354551,9464.29
21,user_6,Stainless,Street full wear themselves say center. Spring call card could score itself.,1995-05-09T16:27:21.354611,46487.12
22,user_33,Ruby,Memory final live base present ability already. Toward attorney during these million else.,2021-05-22T16:27:21.354672,21810.25
23,user_29,Nickel,No hit pull field reduce apply machine. On measure her here day.,2010-07-01T16:27:21.354737,11310.04
24,user_29,Iron,Consumer run Mrs development one edge. Often dog gas benefit house out away lead. Window,1987-02-04T16:27:21.354809,24814.39
25,user_15,Fabric,Miss international above act early program that. Wife ability thought significant method computer popular. Contain,2008-03-27T16:27:21.354881,47957.77
26,user_18,Chrome,Church lead civil. None drive rock along.,1986-01-24T16:27:21.354938,2095.61
27,user_37,Copper,Range can much former spend wonder tell. Year reality show take central.,1984-07-22T16:27:21.354996,8482.65
28,user_25,Ruby,Determine nearly realize religious not sell. Early number factor network catch however. Kitchen method day,2006-09-03T16:27:21.355069,46709.5
29,user_10,Steel,Place drive rest mother bar. Voice but become table scene center final. Two suddenly on,1989-06-30T16:27:21.355142,36582.29
30,user_29,Rubber,Sort director example great fill. Staff school effort here leader commercial. Course development newspaper probably,2009-01-11T16:27:21.355213,37722.98
31,user_46,Emerald,Film economy million adult meeting detail minute serve. Treat bag clear yard road. Matter finish,1987-12-09T16:27:21.355291,36044.15
32,user_7,Diamond,Chair woman condition total area here like. Nation relationship thousand itself. Writer popular one catch,2007-06-04T16:27:21.355364,11380.46
33,user_36,Leather,Allow point turn include. When the amount should. Term apply hotel contain.,1997-07-13T16:27:21.355434,45164.74
