id,seller_id,material,qty_kg,density_gcm,rate_g
1,319,Carbon,1082.5,0.063,851.45
2,446,Chrome,1251.4,0.526,1653.864
3,374,Carbon,1201.6,2.622,1333.153
4,88,Stone,421.2,2.887,1852.319
5,174,Copper,69.8,1.331,873.792
6,51,Glass,249.5,0.815,954.772
7,56,Steel,633.1,1.569,957.023
8,81,Wood,293.4,0.65,1106.88
9,495,Metal,19.6,1.203,1127.631
10,235,Emerald,268.0,0.904,535.114
11,190,Fabric,865.2,0.422,2155.918
12,17,Diamond,605.1,1.272,700.435
13,450,Zinc,509.4,1.235,601.6
14,92,Bronze,423.4,1.447,2466.748
15,498,Quartz,321.9,2.834,1875.396
16,104,Pearl,1102.3,1.28,1278.335
17,254,Plastic,447.5,0.228,1595.705
18,246,Silver,1030.5,1.779,1140.333
19,104,Clay,521.4,2.819,1480.213
20,299,Gold,950.6,3.5,2455.451
21,428,Fiber,688.3,2.576,1719.666
22,122,Amethyst,915.3,3.367,2327.23
23,67,Fabric,416.8,2.109,1648.548
24,231,Stainless,166.4,1.723,2470.554
25,370,Glass,1070.0,2.795,2310.799
26,116,Sapphire,513.0,1.543,1009.481
27,414,Nickel,160.8,2.735,535.786
28,64,Graphite,215.7,0.122,396.164
29,140,Platinum,357.3,1.849,565.469
30,15,Platinum,598.8,2.973,1699.985
31,180,Fabric,848.2,2.85,113.358
32,158,Ruby,1166.3,1.89,2061.722
33,104,Platinum,764.2,0.07,966.018
34,256,Topaz,253.2,1.191,132.208
35,128,Paper,1081.5,2.326,469.421
36,81,Stone,1004.2,1.353,2123.748
37,416,Zinc,1311.7,1.938,1299.594
38,402,Chrome,1240.4,2.899,218.55
39,156,Fabric,1153.8,1.949,2198.989
40,396,Plastic,1418.1,2.188,195.821
41,494,Silver,640.1,2.564,822.374
42,115,Leather,227.5,2.167,1499.722
43,420,Chrome,622.4,3.094,1340.582
44,460,Copper,714.6,2.015,1641.534
45,446,Bronze,962.3,0.709,1366.901
46,76,Topaz,1238.6,1.986,1645.408
47,77,Clay,679.3,2.73,314.996
48,72,Fiber,479.0,2.937,1737.523
49,158,Paper,126.6,1.41,331.933
50,121,Clay,420.0,2.465,2485.337
51,149,Graphite,538.6,2.576,1412.692
52,72,Sapphire,552.3,0.17,2153.57
53,88,Opal,883.7,0.73,2002.299
54,303,Clay,482.8,2.075,1039.108
55,415,Graphite,531.7,2.423,1814.207
56,265,Ceramic,583.1,0.372,1841.875
57,65,Ceramic,491.3,3.15,619.752
58,173,Steel,476.9,0.873,2450.385
59,277,Gold,609.6,1.833,365.563
60,60,Stainless,1227.6,2.149,1345.106
61,462,Diamond,826.9,2.196,1188.756
62,281,Titanium,1108.6,3.494,1517.95
63,446,Gold,664.4,1.396,1561.347
64,382,Pearl,1410.9,3.339,466.561
65,55,Sapphire,335.1,2.862,1840.389
66,107,Brass,247.8,0.649,592.135
67,67,Clay,653.4,2.462,1514.2
68,305,Diamond,844.2,2.76,1101.848
69,116,Ruby,1053.2,3.062,288.671
70,467,Ceramic,430.1,2.493,2036.869
71,467,Gold,175.7,1.943,1129.702
72,251,Leather,734.0,1.147,2198.138
73,79,Sapphire,383.3,0.91,2417.654
74,348,Clay,1404.2,2.289,745.678
75,154,Platinum,114.4,1.992,97.884
76,489,Graphite,525.1,0.476,1863.71
77,235,Fiber,186.9,2.292,702.721
78,77,Plastic,726.1,2.47,1759.411
79,252,Fiber,668.9,0.633,2354.138
80,211,Brass,185.4,0.41,165.252
81,185,Platinum,163.9,2.983,1085.868
82,40,Topaz,1246.9,0.986,1808.648
83,490,Silver,69.6,1.394,124.15
84,19,Fabric,502.0,0.223,314.088
85,214,Titanium,158.9,0.206,587.34
86,369,Fiber,66.0,0.651,1329.554
87,430,Quartz,169.0,0.557,564.33
88,71,Sapphire,597.0,2.013,1559.867
89,61,Bronze,657.9,3.46,1919.417
90,64,Fiber,127.0,2.227,437.339
91,167,Pearl,943.6,3.13,1377.784
92,350,Paper,1247.7,1.494,2494.717
93,220,Glass,811.1,2.12,1223.848
94,476,Platinum,875.7,1.595,38.87
95,84,Ceramic,927.8,1.242,971.762
96,49,Opal,539.1,3.021,2027.709
97,12,Quartz,108.4,1.716,1628.208
98,378,Opal,265.5,0.506,549.64
99,93,Concrete,387.6,1.403,1069.097
100,361,Titanium,438.2,2.12,2106.934
101,163,Silver,1322.1,3.239,104.327
102,19,Platinum,167.4,2.597,1871.242
103,182,Aluminum,1046.0,3.115,50.498
104,58,Topaz,406.2,1.709,844.822
105,13,Platinum,480.4,3.038,1938.999
106,90,Ceramic,45.0,1.012,346.693
107,255,Paper,1262.8,2.52,2003.823
108,272,Plastic,1297.1,0.142,1926.28
109,296,Sapphire,971.3,0.637,1701.138
110,329,Clay,1167.3,2.772,2141.579
111,336,Nickel,1369.2,1.326,1320.461
112,195,Bronze,900.6,0.707,322.511
113,486,Clay,1130.7,2.763,184.684
114,475,Silver,1289.4,1.125,1641.826
115,400,Brass,184.2,0.851,1927.521
116,305,Brass,589.0,1.867,1262.03
117,37,Iron,924.2,0.045,2334.278
118,328,Zinc,1.9,2.928,1316.802
119,332,Sapphire,445.5,0.141,2192.338
120,448,Leather,245.5,2.839,1793.435
121,169,Zinc,634.6,2.436,426.062
122,120,Concrete,511.9,3.286,1039.66
123,217,Graphite,456.3,3.132,2101.254
124,132,Silver,627.0,1.561,1104.677
125,412,Copper,810.4,2.862,961.248
126,115,Topaz,812.0,0.445,336.209
127,293,Stone,733.4,0.915,1108.572
128,166,Bronze,973.9,2.415,36.108
129,95,Diamond,987.8,0.575,1072.877
130,159,Leather,410.4,3.372,1808.022
131,272,Ceramic,482.0,2.866,178.181
132,129,Concrete,86.1,0.201,1490.087
133,151,Sapphire,550.5,1.747,2367.168
134,256,Graphite,337.0,1.237,1077.466
135,384,Aluminum,270.6,2.431,1962.443
136,248,Silver,589.7,0.833,87.539
137,80,Fabric,366.1,3.318,532.813
138,46,Steel,153.0,3.357,2327.299
139,205,Ruby,641.5,1.715,2193.262
140,429,Silver,269.8,0.852,1348.302
141,216,Fiber,472.6,2.977,1791.951
142,493,Leather,1377.7,1.967,549.987
143,171,Quartz,910.1,2.034,1892.483
144,126,Platinum,1073.0,0.951,2101.721
145,376,Opal,313.5,1.69,15.345
146,79,Wood,66.9,2.042,199.878
147,99,Wood,489.4,1.278,836.925
148,366,Brass,1229.2,0.506,1594.459
149,123,Nickel,106.5,3.444,38.782
150,168,Topaz,1328.8,0.35,2061.231
151,25,Pearl,1157.2,1.335,503.422
152,499,Wood,747.4,1.097,2192.055
153,467,Graphite,1249.1,3.472,1851.272
154,359,Glass,219.1,1.857,2098.823
155,43,Chrome,789.2,3.353,1736.6
156,200,Emerald,728.7,1.433,1139.687
157,238,Copper,694.7,2.454,2253.042
158,167,Nickel,637.1,0.48,1069.355
159,144,Titanium,895.9,1.039,1580.072
160,109,Metal,456.2,0.635,249.257
161,349,Stone,1265.1,3.25,575.345
162,338,Silver,1210.7,0.959,1533.865
163,60,Sapphire,1347.0,1.959,135.672
164,164,Steel,656.4,0.503,705.762
165,270,Fabric,326.3,1.909,1297.724
166,325,Brass,632.8,0.855,349.041
167,358,Aluminum,3.3,0.038,1839.854
168,13,Diamond,1248.8,0.337,1689.992
169,321,Ruby,400.7,0.83,2473.172
170,479,Emerald,743.8,2.025,1842.631
171,236,Brass,679.2,0.133,1727.963
172,472,Paper,38.9,1.945,2413.597
173,87,Graphite,718.7,1.284,832.377
174,44,Amethyst,689.9,1.528,866.039
175,313,Opal,284.3,1.185,1041.871
176,170,Zinc,303.2,2.186,1472.244
177,144,Leather,882.6,3.313,1504.004
178,320,Rubber,1339.4,3.415,74.894
179,326,Leather,19.8,2.436,2304.099
180,437,Glass,65.3,0.623,2176.812
181,365,Emerald,236.1,0.773,1308.729
182,306,Fabric,119.6,0.91,1266.71
183,458,Opal,997.3,0.05,671.023
184,2,Nickel,78.2,0.115,2026.759
185,264,Ceramic,636.2,3.173,2456.291
186,253,Nickel,307.9,2.185,689.581
187,7,Copper,1372.7,3.375,446.645
188,310,Silver,509.2,2.36,653.784
189,58,Metal,3.0,1.428,1411.241
190,411,Pearl,452.0,1.957,195.192
191,32,Brass,1025.0,1.435,1.902
192,201,Sapphire,1185.2,1.626,609.626
193,411,Amethyst,878.5,1.992,1700.321
194,232,Platinum,303.7,2.445,828.513
195,454,Ceramic,115.0,2.032,2188.013
196,21,Paper,206.6,0.116,1201.18
197,110,Platinum,111.0,1.097,355.991
198,77,Amethyst,476.6,3.136,827.161
199,440,Plastic,994.7,1.589,2093.466
200,143,Platinum,126.5,0.835,1051.547
201,26,Zinc,1047.2,0.619,1729.907
202,37,Paper,242.6,2.108,745.237
203,11,Stainless,215.3,3.028,1062.035
204,144,Aluminum,1026.2,1.988,1122.27
205,251,Graphite,644.5,3.45,1049.993
206,254,Rubber,886.7,1.926,621.191
207,402,Carbon,782.0,1.086,2327.394
208,422,Stone,858.6,1.512,1233.783
209,148,Zinc,571.4,3.393,464.179
210,424,Diamond,47.0,2.217,709.755
211,276,Diamond,1349.7,1.673,1461.391
212,335,Aluminum,418.1,0.046,801.956
213,76,Iron,1025.6,1.362,1189.911
214,287,Clay,854.6,0.454,980.606
215,470,Chrome,1179.0,2.916,108.969
216,323,Wood,822.0,3.459,1554.645
217,171,Topaz,807.3,3.258,490.063
218,74,Topaz,71.1,2.019,2118.478
219,309,Topaz,285.0,2.317,1800.768
220,307,Titanium,1274.6,0.197,1410.621
221,455,Graphite,396.9,0.684,437.202
222,19,Platinum,455.8,2.019,453.066
223,170,Ceramic,1375.8,3.427,454.617
224,33,Ceramic,987.9,0.465,1363.126
225,51,Quartz,93.5,0.286,1246.436
226,360,Rubber,284.1,3.316,2332.07
227,311,Fiber,721.2,1.041,1898.962
228,300,Platinum,888.1,1.855,2428.378
229,320,Steel,96.9,0.477,1217.505
230,411,Graphite,310.3,2.246,2356.049
231,162,Bronze,1316.8,0.125,830.073
232,111,Pearl,808.8,2.743,688.694
233,117,Nickel,386.1,1.345,2499.887
